1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,"1,924,688,333",Utama
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,"3,935,892,857",Pengembangan
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,"620,806,680",Pengembangan
4,ABMM,ABM Investama Tbk.,06 Des 2011,"2,753,165,000",Utama
5,ACES,Ace Hardware Indonesia Tbk.,06 Nov 2007,"17,150,000,000",Utama
6,ACST,Acset Indonusa Tbk.,24 Jun 2013,"12,675,160,000",Utama
7,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,"22,222,222,200",Utama
8,ADES,Akasha Wira International Tbk.,13 Jun 1994,"589,896,800",Pengembangan
9,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,"3,560,849,376",Utama
10,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,"1,000,000,000",Utama
11,ADMG,Polychem Indonesia Tbk,20 Okt 1993,"3,889,179,559",Utama
12,ADMR,Adaro Minerals Indonesia Tbk.,03 Jan 2022,"40,882,331,500",Pengembangan
13,ADRO,Adaro Energy Indonesia Tbk.,16 Jul 2008,"31,985,962,000",Utama
14,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,"1,000,000,000",Pengembangan
15,AGII,Aneka Gas Industri Tbk.,28 Sep 2016,"3,066,660,000",Utama
16,AGRO,Bank Raya Indonesia Tbk.,08 Ags 2003,"22,520,433,863",Utama
17,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,"27,464,646,945",Pengembangan
18,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,"4,900,000,000",Pengembangan
19,AIMS,Akbar Indo Makmur Stimec Tbk,20 Jul 2001,"220,000,000",Pengembangan
20,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,"9,311,800,000",Utama
21,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,"6,449,463,636",Pengembangan
22,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,"612,248,000",Pengembangan
23,AKRA,AKR Corporindo Tbk.,03 Okt 1994,"20,073,474,600",Utama
24,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,"720,000,000",Pengembangan
25,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,"1,316,856,070",Pengembangan
26,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,"507,665,055",Pengembangan
27,ALMI,Alumindo Light Metal Industry,02 Jan 1997,"3,816,000,000",Pengembangan
28,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,"2,191,870,558",Utama
29,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,"5,001,552,516",Pengembangan
30,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,"3,873,500,000",Utama
31,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,"13,646,222,000",Pengembangan
32,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,"434,000,000",Utama
33,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,"1,080,000,000",Pengembangan
34,AMMS,Agung Menjangan Mas Tbk.,04 Ags 2022,"1,200,000,000",Akselerasi
35,AMOR,Ashmore Asset Management Indon,14 Jan 2020,"2,222,222,400",Pengembangan
36,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,"41,524,501,700",Utama
37,ANDI,Andira Agro Tbk.,16 Ags 2018,"9,350,000,000",Pengembangan
38,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,"3,354,175,000",Utama
39,ANTM,Aneka Tambang Tbk.,27 Nov 1997,"24,030,764,725",Utama
40,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,"2,796,804,997",Pengembangan
41,APIC,Pacific Strategic Financial Tb,18 Des 2002,"11,766,313,488",Pengembangan
42,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,"1,075,760,000",Pengembangan
43,APLI,Asiaplast Industries Tbk.,01 Mei 2000,"1,362,671,400",Utama
44,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,"22,699,326,779",Utama
45,ARCI,Archi Indonesia Tbk.,28 Jun 2021,"24,835,000,000",Utama
46,ARGO,Argo Pantes Tbk,07 Jan 1991,"335,557,450",Pengembangan
47,ARII,Atlas Resources Tbk.,08 Nov 2011,"3,131,000,000",Pengembangan
48,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,"2,000,000,000",Pengembangan
49,ARKO,Arkora Hydro Tbk.,08 Jul 2022,"2,928,495,000",Pengembangan
50,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,"9,006,250,000",Pengembangan
51,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,"7,341,430,976",UTAMA
52,ARTA,Arthavest Tbk,05 Nov 2002,"446,674,175",PENGEMBANGAN
53,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,"7,840,000,000",Pengembangan
54,ARTO,Bank Jago Tbk.,12 Jan 2016,"13,717,687,500",Pengembangan
55,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,"348,386,472",Pengembangan
56,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,"192,000,000",Utama
57,ASGR,Astra Graphia Tbk.,15 Nov 1989,"1,348,780,500",Utama
58,ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,"5,000,000,000",Pengembangan
59,ASII,Astra International Tbk.,04 Apr 1990,"40,483,553,140",Utama
60,ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,"1,288,890,696",Utama
61,ASLC,Autopedia Sukses Lestari Tbk.,25 Jan 2022,"12,746,354,780",Pengembangan
62,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,"8,958,380,460",Utama
63,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,"681,794,825",Pengembangan
64,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,"19,649,411,888",Utama
65,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,"304,283,840",Pengembangan
66,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,"3,566,360,707",Pengembangan
67,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,"1,250,000,000",Pengembangan
68,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,"2,315,361,355",UTAMA
69,AUTO,Astra Otoparts Tbk.,15 Jun 1998,"4,819,733,000",Utama
70,AVIA,Avia Avian Tbk.,08 Des 2021,"61,953,555,600",Utama
71,AXIO,Tera Data Indonusa Tbk.,20 Jul 2022,"5,840,126,500",Pengembangan
72,AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,"853,423,236",Pengembangan
73,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,"31,068,566,097",Pengembangan
74,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,"7,007,225,373",Pengembangan
75,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,"1,800,000,000",Pengembangan
76,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,"3,934,592,500",Utama
77,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,"13,666,063,301",Pengembangan
78,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,"661,784,520",Utama
79,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,"5,591,764,260",Pengembangan
80,BATA,Sepatu Bata Tbk.,24 Mar 1982,"1,300,000,000",Utama
81,BAUT,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,"4,800,020,496",Pengembangan
82,BAYU,Bayu Buana Tbk,30 Okt 1989,"353,220,780",PENGEMBANGAN
83,BBCA,Bank Central Asia Tbk.,31 Mei 2000,"122,042,299,500",Utama
84,BBHI,Allo Bank Indonesia Tbk.,12 Ags 2015,"21,512,953,877",Pengembangan
85,BBKP,Bank KB Bukopin Tbk.,10 Jul 2006,"67,019,885,160",Utama
86,BBLD,Buana Finance Tbk.,07 Mei 1990,"1,645,796,054",Pengembangan
87,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,"4,049,189,100",Utama
88,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,"18,462,169,893",Utama
89,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,"150,043,411,587",Utama
90,BBRM,Pelayaran Nasional Bina Buana,09 Jan 2013,"8,479,490,328",Utama
91,BBSI,Bank Bisnis Internasional Tbk.,07 Sep 2020,"3,274,178,463",Pengembangan
92,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,"4,800,016,020",Pengembangan
93,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,"10,484,100,000",Utama
94,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,"9,327,465,018",Utama
95,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,"42,618,850,927",Utama
96,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,"17,926,071,041",Pengembangan
97,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,"1,429,915,525",Pengembangan
98,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,"9,675,817,341",Utama
99,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,"9,000,000,000",Pengembangan
100,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,"1,884,312,595",Pengembangan
101,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,"51,351,733,883",Pengembangan
102,BELL,Trisula Textile Industries Tbk,03 Okt 2017,"7,250,000,000",Pengembangan
103,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,"3,432,904,857",Pengembangan
104,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,"9,647,311,150",Utama
105,BFIN,BFI Finance Indonesia Tbk.,16 Mei 1990,"15,967,115,620",Utama
106,BGTG,Bank Ganesha Tbk.,12 Mei 2016,"16,303,371,203",Pengembangan
107,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,"5,000,000,000",Pengembangan
108,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,"86,068,156,705",Utama
109,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,"592,280,000",Pengembangan
110,BIKE,Sepeda Bersama Indonesia Tbk.,21 Mar 2022,"1,293,334,000",Pengembangan
111,BIMA,Primarindo Asia Infrastructure,30 Ags 1994,"608,175,716",Pengembangan
112,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,"5,877,722,813",Utama
113,BINO,Perma Plasindo Tbk.,25 Nov 2021,"2,175,005,302",Pengembangan
114,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,"57,918,360,917",Pengembangan
115,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,"5,028,669,366",Pengembangan
116,BIRD,Blue Bird Tbk.,05 Nov 2014,"2,502,100,000",Utama
117,BISI,BISI International Tbk.,28 Mei 2007,"3,000,000,000",Utama
118,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,"10,416,229,249",Utama
119,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,"14,865,343,101",Utama
120,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,"7,513,992,252",Pengembangan
121,BKSL,Sentul City Tbk.,28 Jul 1997,"67,083,561,082",Utama
122,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,"20,232,319,124",Pengembangan
123,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,"25,940,187,103",Utama
124,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,"873,937,142",Pengembangan
125,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,"418,000,000",Pengembangan
126,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,"4,399,026,922",Pengembangan
127,BMHS,Bundamedik Tbk.,06 Jul 2021,"8,603,416,176",Utama
128,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,"46,199,999,998",Utama
129,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,"1,159,200,024",Utama
130,BMTR,Global Mediacom Tbk.,17 Jul 1995,"16,583,997,586",Utama
131,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,"2,744,280,000",Utama
132,BNBR,Bakrie & Brothers Tbk,28 Ags 1989,"21,160,865,261",Pengembangan
133,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,"24,880,290,775",Utama
134,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,"75,357,433,911",Utama
135,BNLI,Bank Permata Tbk.,15 Jan 1990,"35,819,545,925",Utama
136,BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,"1,155,750,000",Pengembangan
137,BOGA,Bintang Oto Global Tbk.,19 Des 2016,"3,803,526,210",Pengembangan
138,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,"6,000,000,000",Pengembangan
139,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,"2,343,750,000",PENGEMBANGAN
140,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,"1,400,000,000",Pengembangan
141,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,"2,673,995,362",Pengembangan
142,BPII,Batavia Prosperindo Internasio,08 Jul 2014,"562,224,662",Pengembangan
143,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,"1,550,000,000",Utama
144,BRAM,Indo Kordsa Tbk.,05 Sep 1990,"450,000,000",Utama
145,BRIS,Bank Syariah Indonesia Tbk.,09 Mei 2018,"40,717,924,372",Utama
146,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,"141,784,040,338",Pengembangan
147,BRNA,Berlina Tbk.,06 Nov 1989,"979,110,000",Pengembangan
148,BRPT,Barito Pacific Tbk.,01 Okt 1993,"93,747,218,044",Utama
149,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,"21,171,365,812",Utama
150,BSIM,Bank Sinarmas Tbk.,13 Des 2010,"19,517,921,842",Utama
151,BSML,Bintang Samudera Mandiri Lines,16 Des 2021,"1,850,225,000",Pengembangan
152,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,"2,616,500,000",Pengembangan
153,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,"2,374,923,478",Pengembangan
154,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,"46,277,496,376",Pengembangan
155,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,"36,822,665,755",Pengembangan
156,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,"720,000,000",Pengembangan
157,BTPN,Bank BTPN Tbk.,12 Mar 2008,"8,066,054,461",Utama
158,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,"7,626,663,000",Utama
159,BUAH,Segar Kumala Indonesia Tbk.,09 Ags 2022,"1,000,000,000",Pengembangan
160,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,"4,498,997,362",Utama
161,BUKA,Bukalapak.com Tbk.,06 Ags 2021,"103,062,019,354",Pengembangan
162,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,"2,640,452,000",Pengembangan
163,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,"14,117,801,449",Pengembangan
164,BUMI,Bumi Resources Tbk.,30 Jul 1990,"143,841,242,189",Pengembangan
165,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,"6,811,269,200",Pengembangan
166,BVIC,Bank Victoria International Tb,30 Jun 1999,"12,910,188,542",Utama
167,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,"31,525,291,000",Utama
168,BYAN,Bayan Resources Tbk.,12 Ags 2008,"3,333,333,500",Utama
169,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,"1,203,300,219",Pengembangan
170,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,"5,885,000,000",Utama
171,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,"833,440,000",Pengembangan
172,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,"33,250,000,000",Pengembangan
173,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,"15,000,000,000",Utama
174,CASA,Capital Financial Indonesia Tb,19 Jul 2016,"54,476,269,803",Pengembangan
175,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,"1,431,125,517",Akselerasi
176,CASS,Cardig Aero Services Tbk.,05 Des 2011,"2,086,950,000",Pengembangan
177,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,"1,875,000,000",Pengembangan
178,CCSI,Communication Cable Systems In,18 Jun 2019,"1,199,999,998",Pengembangan
179,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,"595,000,000",Utama
180,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,"31,183,464,900",Pengembangan
181,CFIN,Clipan Finance Indonesia Tbk.,27 Ags 1990,"3,984,520,457",Utama
182,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,"1,700,000,000",Pengembangan
183,CINT,Chitose Internasional Tbk.,27 Jun 2014,"1,000,000,000",PENGEMBANGAN
184,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,"3,960,361,250",Pengembangan
185,CITY,Natura City Developments Tbk.,28 Sep 2018,"5,405,188,966",Utama
186,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,"2,570,000,000",Pengembangan
187,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,"12,000,000,000",Utama
188,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,"306,338,500",PENGEMBANGAN
189,CMNP,Citra Marga Nusaphala Persada,10 Jan 1995,"5,435,058,905",Utama
190,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,"17,125,504,000",Utama
191,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,"10,685,124,441",Pengembangan
192,CMRY,Cisarua Mountain Dairy Tbk.,06 Des 2021,"7,934,683,000",Utama
193,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,"8,956,361,206",Pengembangan
194,CNTX,Century Textile Industry Tbk.,22 Mei 1979,"70,000,000",Pengembangan
195,COAL,Black Diamond Resources Tbk.,07 Sep 2022,"6,250,000,000",Pengembangan
196,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,"889,863,981",Pengembangan
197,COWL,Cowell Development Tbk.,19 Des 2007,"4,871,214,021",Pengembangan
198,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,"16,398,000,000",UTAMA
199,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,"2,433,379,958",Pengembangan
200,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,"59,572,382,787",Pengembangan
201,CRAB,Toba Surimi Industries Tbk.,10 Ags 2022,"1,950,000,000",Pengembangan
202,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,"4,458,352,920",Utama
203,CSIS,Cahayasakti Investindo Sukses,10 Mei 2017,"1,307,000,000",Pengembangan
204,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,"816,061,500",Pengembangan
205,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,"2,050,000,000",Utama
206,CTBN,Citra Tubindo Tbk.,28 Nov 1989,"800,371,500",Utama
207,CTRA,Ciputra Development Tbk.,28 Mar 1994,"18,560,303,397",Utama
208,CTTH,Citatah Tbk.,03 Jul 1996,"1,230,839,821",Pengembangan
209,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,"7,178,346,958",Pengembangan
210,DART,Duta Anggada Realty Tbk.,08 Mei 1990,"3,141,390,962",Utama
211,DAYA,Duta Intidaya Tbk.,28 Jun 2016,"2,420,547,025",Pengembangan
212,DCII,DCI Indonesia Tbk.,06 Jan 2021,"2,383,745,900",Pengembangan
213,DEAL,Dewata Freightinternational Tb,11 Nov 2018,"1,146,170,959",Pengembangan
214,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,"687,266,666",Pengembangan
215,DEPO,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,"6,790,000,000",Utama
216,DEWA,Darma Henwa Tbk,26 Sep 2007,"21,853,733,792",Utama
217,DEWI,Dewi Shri Farmindo Tbk.,18 Jul 2022,"2,000,000,000",Pengembangan
218,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,"1,899,852,850",Pengembangan
219,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,"5,541,165,000",Utama
220,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,"1,250,000,000",Pengembangan
221,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,"1,625,000,000",Pengembangan
222,DILD,Intiland Development Tbk.,04 Sep 1991,"10,365,854,185",Utama
223,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,"1,428,571,400",Pengembangan
224,DKFT,Central Omega Resources Tbk.,21 Nov 1997,"5,638,246,600",Pengembangan
225,DLTA,Delta Djakarta Tbk.,27 Feb 1984,"800,659,050",Utama
226,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,"48,198,111,100",Utama
227,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,"7,692,307,700",Pengembangan
228,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,"9,468,359,000",Utama
229,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,"13,843,569,569",Utama
230,DNET,Indoritel Makmur Internasional,11 Des 2000,"14,184,000,000",Pengembangan
231,DOID,Delta Dunia Makmur Tbk.,15 Jun 2001,"8,621,173,232",Utama
232,DPNS,Duta Pertiwi Nusantara Tbk.,08 Ags 1990,"331,129,952",Utama
233,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,"4,175,000,000",Pengembangan
234,DRMA,Dharma Polimetal Tbk.,20 Des 2021,"4,705,882,300",Utama
235,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,"1,857,135,500",Utama
236,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,"10,599,842,400",Utama
237,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,"770,552,320",Utama
238,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,"1,283,330,000",Pengembangan
239,DUTI,Duta Pertiwi Tbk,02 Nov 1994,"1,850,000,000",Pengembangan
240,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,"1,120,000,000",Utama
241,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,"9,245,117,857",Pengembangan
242,DYAN,Dyandra Media International Tb,25 Mar 2013,"4,272,964,279",Utama
243,EAST,Eastparc Hotel Tbk.,09 Jul 2019,"4,126,405,336",Pengembangan
244,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,"1,334,333,000",PENGEMBANGAN
245,EDGE,Indointernet Tbk.,08 Feb 2021,"404,050,000",Pengembangan
246,EKAD,Ekadharma International Tbk.,14 Ags 1990,"3,493,875,000",Utama
247,ELPI,Pelayaran Nasional Ekalya Purn,08 Ags 2022,"7,412,000,000",Utama
248,ELSA,Elnusa Tbk.,06 Feb 2008,"7,298,500,000",Utama
249,ELTY,Bakrieland Development Tbk.,30 Okt 1995,"43,521,913,019",Pengembangan
250,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,"3,350,000,000",Pengembangan
251,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,"61,241,751,483",Utama
252,ENAK,Champ Resto Indonesia Tbk.,08 Feb 2022,"2,166,666,800",Pengembangan
253,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,"24,821,230,250",Pengembangan
254,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,"1,800,000,000",Pengembangan
255,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,"2,162,545,889",Pengembangan
256,EPAC,Megalestari Epack Sentosaraya,01 Jul 2020,"3,303,400,000",Pengembangan
257,EPMT,Enseval Putera Megatrading Tbk,01 Ags 1994,"2,708,640,000",Pengembangan
258,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,"15,950,000,000",Utama
259,ERTX,Eratex Djaja Tbk.,21 Ags 1990,"1,286,539,792",Pengembangan
260,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,"1,109,936,024",Pengembangan
261,ESSA,Surya Esa Perkasa Tbk.,01 Feb 2012,"15,660,887,000",Utama
262,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,"2,229,230,769",Pengembangan
263,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,"2,015,208,720",UTAMA
264,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,"4,668,671,400",Pengembangan
265,EURO,Estee Gold Feet Tbk.,08 Ags 2022,"2,500,000,000",Akselerasi
266,EXCL,XL Axiata Tbk.,29 Sep 2005,"10,724,674,776",Utama
267,FAPA,FAP Agri Tbk.,04 Jan 2021,"3,629,411,800",Pengembangan
268,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,"3,990,277,158",Pengembangan
269,FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,"2,477,888,787",Utama
